X,Y,Z,ANN
1417.32,1524,937.26,0.64
1402.08,1493.52,937.26,0.6
1341.12,1722.12,937.26,0.46
1447.8,1569.72,937.26,0.37
1402.08,1508.76,937.26,0.31
1432.56,1569.72,937.26,0.24
1402.08,1524,937.26,0.19
1356.36,1508.76,937.26,0.13
1325.88,1645.92,937.26,0.33
1341.12,1691.64,937.26,0.37
1356.36,1493.52,937.26,0.62
1402.08,1539.24,937.26,0.66
1356.36,1478.28,937.26,0.53
1386.84,1508.76,937.26,0.42
1432.56,1615.44,937.26,0.33
1341.12,1630.68,937.26,0.25
1371.6,1493.52,937.26,0.2
1402.08,1691.64,937.26,0.16
1386.84,1524,937.26,0.12
1371.6,1615.44,937.26,0.34
1356.36,1615.44,937.26,0.34
1402.08,1554.48,937.26,0.57
1432.56,1600.2,937.26,0.72
1386.84,1539.24,937.26,0.63
1371.6,1524,937.26,0.47
1417.32,1630.68,937.26,0.35
1371.6,1645.92,937.26,0.28
1356.36,1645.92,937.26,0.23
1417.32,1584.96,937.26,0.2
1417.32,1661.16,937.26,0.17
1371.6,1539.24,937.26,0.16
1386.84,1554.48,937.26,0.36
1371.6,1584.96,937.26,0.36
1463.04,1584.96,937.26,0.54
1447.8,1600.2,937.26,0.8
1371.6,1554.48,937.26,0.78
1417.32,1676.4,937.26,0.57
1386.84,1569.72,937.26,0.43
1371.6,1569.72,937.26,0.34
1402.08,1584.96,937.26,0.29
1386.84,1584.96,937.26,0.24
1402.08,1600.2,937.26,0.22
1402.08,1615.44,937.26,0.21
1386.84,1600.2,937.26,0.41
1386.84,1630.68,937.26,0.41
1386.84,1615.44,937.26,0.51
1402.08,1661.16,937.26,0.9
1386.84,1676.4,937.26,1.01
1386.84,1645.92,937.26,0.74
1402.08,1676.4,937.26,0.54
1386.84,1661.16,937.26,0.44
1432.56,1661.16,937.26,0.36
1463.04,1722.12,937.26,0.3
1447.8,1508.76,937.26,0.47
1463.04,1691.64,937.26,0.99
1447.8,1722.12,937.26,1.36
1447.8,1524,937.26,0.56
1463.04,1645.92,937.26,0.44
1447.8,1691.64,937.26,0.46
1432.56,1722.12,937.26,0.51
1432.56,1508.76,937.26,0.47
1356.36,1630.68,937.26,1.83
1447.8,1645.92,937.26,1.52
1432.56,1691.64,937.26,0.9
1402.08,1645.92,937.26,0.73
1417.32,1600.2,937.26,0.66
1371.6,1600.2,937.26,0.64
1356.36,1661.16,937.26,0.79
1432.56,1584.96,937.26,0.46
1417.32,1722.12,937.26,0.47
1447.8,1554.48,937.26,0.5
1371.6,1508.76,937.26,0.86
1371.6,1478.28,937.26,1.93
1463.04,1737.36,937.26,1.76
1356.36,1584.96,937.26,0.92
1417.32,1691.64,937.26,1.31
1432.56,1524,937.26,0.97
1402.08,1630.68,937.26,0.47
1371.6,1630.68,937.26,0.5
1463.04,1661.16,937.26,1.99
1417.32,1706.88,937.26,2.04
1356.36,1737.36,937.26,0.84
1402.08,1706.88,937.26,1.3
1463.04,1630.68,937.26,0.47
1463.04,1508.76,937.26,0.48
1447.8,1661.16,937.26,0.52
1447.8,1539.24,937.26,0.69
1371.6,1737.36,937.26,2.03
1432.56,1706.88,937.26,2.29
1402.08,1722.12,937.26,1.52
1341.12,1524,937.26,0.91
1325.88,1493.52,937.26,0.78
1325.88,1569.72,937.26,-2
1463.04,1600.2,937.26,0.49
1371.6,1676.4,937.26,0.74
1463.04,1524,937.26,1.78
1447.8,1493.52,937.26,2.68
1402.08,1569.72,937.26,1.88
1417.32,1615.44,937.26,1.2
1341.12,1645.92,937.26,0.87
1341.12,1661.16,937.26,0.76
1447.8,1584.96,937.26,-2
1447.8,1478.28,937.26,-2
1325.88,1737.36,937.26,0.83
1341.12,1615.44,937.26,3.05
1417.32,1478.28,937.26,2.23
1447.8,1737.36,937.26,1.64
1463.04,1554.48,937.26,1.06
1463.04,1539.24,937.26,-2
1432.56,1478.28,937.26,-2
1341.12,1737.36,937.26,0.54
1371.6,1661.16,937.26,0.59
1325.88,1722.12,937.26,0.69
1447.8,1630.68,937.26,1.12
1402.08,1478.28,937.26,3.51
1417.32,1645.92,937.26,-2
1417.32,1554.48,937.26,0.52
1386.84,1722.12,937.26,0.79
1463.04,1676.4,937.26,1.35
1325.88,1600.2,937.26,1.79
1371.6,1706.88,937.26,3.74
1356.36,1676.4,937.26,3.09
1325.88,1508.76,937.26,2.23
1371.6,1691.64,937.26,-2
1371.6,1722.12,937.26,-2
1417.32,1493.52,937.26,-2
1341.12,1584.96,937.26,0.47
1463.04,1615.44,937.26,0.78
1341.12,1539.24,937.26,1.01
1325.88,1584.96,937.26,2.54
1447.8,1615.44,937.26,-2
1386.84,1737.36,937.26,-2
1432.56,1676.4,937.26,-2
1417.32,1569.72,937.26,0.4
1432.56,1737.36,937.26,0.83
1447.8,1706.88,937.26,0.85
1325.88,1676.4,937.26,1.04
1447.8,1676.4,937.26,-2
1341.12,1493.52,937.26,-2
1356.36,1691.64,937.26,0.36
1386.84,1493.52,937.26,0.52
1356.36,1706.88,937.26,0.7
1356.36,1554.48,937.26,0.56
1463.04,1706.88,937.26,0.54
1417.32,1737.36,937.26,-2
1356.36,1722.12,937.26,-2
1325.88,1539.24,937.26,-2
1356.36,1524,937.26,-2
1432.56,1554.48,937.26,-2
1341.12,1508.76,937.26,0.32
1341.12,1676.4,937.26,0.46
1325.88,1661.16,937.26,0.55
1402.08,1737.36,937.26,0.48
1341.12,1706.88,937.26,-2
1341.12,1569.72,937.26,-2
1463.04,1493.52,937.26,-2
1341.12,1478.28,937.26,0.39
1432.56,1493.52,937.26,0.4
1325.88,1615.44,937.26,-2
1356.36,1600.2,937.26,-2
1386.84,1706.88,937.26,-2
1417.32,1508.76,937.26,-2
1341.12,1554.48,937.26,-2
1325.88,1554.48,937.26,-2
1432.56,1645.92,937.26,-2
1463.04,1569.72,937.26,-2
1432.56,1630.68,937.26,-2
1432.56,1539.24,937.26,0.31
1386.84,1691.64,937.26,-2
1356.36,1539.24,937.26,-2
1417.32,1539.24,937.26,-2
1325.88,1691.64,937.26,-2
1356.36,1569.72,937.26,-2
1341.12,1600.2,937.26,-2
