X,Y,Z,IDS,KRIG,90-71,90-
4500,5300,3125,0.12,0.12,0.176,0.22333
4550,5300,3125,0.17,0.15,0.192,0.392486
4600,5300,3125,0.17,0.16,0.205,0.438545
4350,5350,3125,0.07,0.06,0.182,0.103711
4400,5350,3125,0.05,0.06,0.207,0.124861
4450,5350,3125,0.03,0.03,0.197,0.152381
4500,5350,3125,0.07,0.12,0.173,0.230519
4550,5350,3125,0.13,0.13,0.182,0.404393
4600,5350,3125,0.15,0.14,0.271,0.524464
4350,5400,3125,0.05,0.06,0.164,0.096307
4400,5400,3125,0.03,0.05,0.194,0.116812
4450,5400,3125,0.02,0.02,0.193,0.143887
4500,5400,3125,0.03,0.04,0.174,0.235886
4550,5400,3125,0.27,0.27,0.166,0.407911
4600,5400,3125,0.22,0.19,0.295,0.545036
4350,5450,3125,0.03,0.04,0.149,0.089775
4400,5450,3125,0.02,0.03,0.184,0.10994
4450,5450,3125,0.03,0.03,0.191,0.136711
4500,5450,3125,0.02,0.02,0.173,0.234901
4550,5450,3125,0.47,0.28,0.152,0.402152
4350,5500,3125,0.03,0.03,0.139,0.084254
4400,5500,3125,0.03,0.03,0.175,0.102297
4450,5500,3125,0.04,0.04,0.185,0.133375
4500,5500,3125,0.13,0.19,0.167,0.2284
4550,5500,3125,0.23,0.06,0.143,0.343323
4450,5550,3125,0.05,0.04,0.177,0.127768
4500,5550,3125,0.1,0.24,0.158,0.198649
4650,4850,3100,0.24,0.48,0.069,0.067469
4700,4850,3100,0.14,0.35,0.039,0.04211
4750,4850,3100,0.07,0.07,0.022,0.026557
4400,4900,3100,0.46,0.52,0.368,0.326834
4450,4900,3100,0.56,0.52,0.331,0.315148
4500,4900,3100,0.65,0.58,0.310,0.277792
4550,4900,3100,0.65,0.57,0.245,0.220862
4600,4900,3100,0.45,0.49,0.141,0.138611
4650,4900,3100,0.12,0.33,0.082,0.084509
4700,4900,3100,0.09,0.29,0.046,0.053294
4400,4950,3100,0.39,0.44,0.416,0.339161
4450,4950,3100,0.56,0.53,0.372,0.333966
4500,4950,3100,0.69,0.59,0.354,0.301838
4550,4950,3100,0.63,0.55,0.302,0.264575
4600,4950,3100,0.47,0.5,0.167,0.170887
4650,4950,3100,0.22,0.38,0.096,0.106218
4700,4950,3100,0.14,0.29,0.053,0.066909
4400,5000,3100,0.37,0.41,0.452,0.351954
4450,5000,3100,0.51,0.49,0.413,0.347499
4500,5000,3100,0.72,0.63,0.393,0.32866
4550,5000,3100,0.58,0.53,0.368,0.318583
4600,5000,3100,0.5,0.5,0.196,0.210881
4650,5000,3100,0.27,0.3,0.112,0.132658
4700,5000,3100,0.21,0.3,0.061,0.084159
4400,5050,3100,0.32,0.33,0.464,0.365229
4450,5050,3100,0.45,0.45,0.448,0.360408
4500,5050,3100,0.54,0.51,0.424,0.357827
4550,5050,3100,0.48,0.53,0.455,0.375312
4600,5050,3100,0.45,0.47,0.240,0.26228
4650,5050,3100,0.29,0.34,0.131,0.166226
4700,5050,3100,0.18,0.24,0.071,0.106559
4400,5100,3100,0.33,0.34,0.458,0.359039
4450,5100,3100,0.44,0.48,0.476,0.372194
4500,5100,3100,0.63,0.63,0.452,0.380336
4550,5100,3100,0.64,0.63,0.546,0.436809
4600,5100,3100,0.54,0.49,0.313,0.327924
4650,5100,3100,0.27,0.32,0.155,0.211189
4700,5100,3100,0.1,0.14,0.081,0.137479
4400,5150,3100,0.4,0.47,0.442,0.333153
4450,5150,3100,0.46,0.5,0.501,0.376337
4500,5150,3100,0.62,0.64,0.485,0.399149
4550,5150,3100,0.9,0.82,0.645,0.505374
4600,5150,3100,0.62,0.66,0.418,0.422201
4650,5150,3100,0.31,0.27,0.187,0.276419
4700,5150,3100,0.09,0.1,0.094,0.181166
4750,5150,3100,0.08,0.09,0.052,0.117435
4400,5200,3100,0.38,0.35,0.414,0.303112
4450,5200,3100,0.58,0.74,0.504,0.35086
