X,Y,Z,IDS,KRIG,LOGKRIG,ANN
4500,5050,3100,0.54,0.51,0.7,0.67
4550,5050,3100,0.48,0.53,0.71,0.63
4600,5050,3100,0.45,0.47,0.49,0.47
4650,5050,3100,0.29,0.34,0.29,0.35
4700,5050,3100,0.18,0.24,0.16,0.26
4400,5100,3100,0.33,0.34,0.46,0.35
4450,5100,3100,0.44,0.48,0.58,0.54
4500,5100,3100,0.63,0.63,0.75,0.77
4550,5100,3100,0.64,0.63,0.81,0.8
4600,5100,3100,0.54,0.49,0.58,0.63
4650,5100,3100,0.27,0.32,0.27,0.46
4700,5100,3100,0.1,0.14,0.11,0.34
4400,5150,3100,0.4,0.47,0.54,0.35
4450,5150,3100,0.46,0.5,0.59,0.56
4500,5150,3100,0.62,0.64,0.78,0.9
4550,5150,3100,0.9,0.82,1,1.03
4600,5150,3100,0.62,0.66,0.76,0.85
4650,5150,3100,0.31,0.27,0.26,0.63
4700,5150,3100,0.09,0.1,0.11,0.46
4750,5150,3100,0.08,0.09,0.09,0.33
4400,5200,3100,0.38,0.35,0.5,0.35
4450,5200,3100,0.58,0.74,0.79,0.59
4500,5200,3100,0.73,0.77,0.92,1.03
4550,5200,3100,0.95,0.92,1.17,1.32
4600,5200,3100,0.78,0.77,0.87,1.14
4650,5200,3100,0.21,0.23,0.24,0.85
4700,5200,3100,0.09,0.1,0.11,0.6
4750,5200,3100,0.08,0.09,0.1,0.43
4400,5250,3100,0.35,0.32,0.45,0.35
4450,5250,3100,0.83,0.92,1.03,0.62
4500,5250,3100,0.91,0.9,1.1,1.17
4550,5250,3100,1,0.99,1.3,1.66
4600,5250,3100,0.87,0.83,0.89,1.51
4650,5250,3100,0.11,0.12,0.14,1.11
4700,5250,3100,0.1,0.11,0.13,0.77
4400,5300,3100,0.26,0.3,0.3,0.34
4450,5300,3100,0.47,0.58,0.38,0.65
4500,5300,3100,0.93,0.89,0.6,1.3
4550,5300,3100,1.14,1.01,0.99,2.01
4600,5300,3100,1.09,1.03,0.86,1.91
4650,5300,3100,0.17,0.35,0.21,1.38
4700,5300,3100,0.11,0.11,0.11,0.92
