X,Y,Z,Cu,Dens
1417,1661,823,1.19,2.645544
1433,1661,823,1.01,2.645544
1448,1661,823,0.81,2.645544
1463,1661,823,0.62,2.645544
1478,1661,823,0.62,2.645544
1311,1676,823,0.35,2.645544
1326,1676,823,0.42,2.645544
1341,1676,823,0.51,2.645544
1356,1676,823,0.6,2.645544
1372,1676,823,0.77,2.645544
1387,1676,823,1.17,2.645544
1402,1676,823,1.27,2.645544
1417,1676,823,1.1,2.645544
1433,1676,823,0.9,2.645544
1448,1676,823,0.71,2.645544
1463,1676,823,0.54,2.645544
1478,1676,823,0.54,2.645544
1311,1692,823,0.3,2.645544
1326,1692,823,0.39,2.645544
1341,1692,823,0.48,2.645544
1356,1692,823,0.59,2.645544
1372,1692,823,0.78,2.645544
1387,1692,823,1.04,2.645544
1402,1692,823,1.14,2.645544
1417,1692,823,0.98,2.645544
1433,1692,823,0.78,2.645544
1448,1692,823,0.61,2.645544
1463,1692,823,0.47,2.645544
1478,1692,823,0.47,2.645544
1311,1707,823,0.28,2.645544
1326,1707,823,0.36,2.645544
1341,1707,823,0.46,2.645544
1356,1707,823,0.61,2.645544
1372,1707,823,0.75,2.645544
1387,1707,823,0.88,2.645544
1402,1707,823,0.91,2.645544
1417,1707,823,0.79,2.645544
1433,1707,823,0.65,2.645544
1448,1707,823,0.52,2.645544
1463,1707,823,0.41,2.645544
1478,1707,823,0.41,2.645544
1311,1722,823,0.26,2.645544
1326,1722,823,0.34,2.645544
1341,1722,823,0.45,2.645544
1356,1722,823,0.6,2.645544
1372,1722,823,0.69,2.645544
1387,1722,823,0.74,2.645544
1402,1722,823,0.73,2.645544
1417,1722,823,0.64,2.645544
1433,1722,823,0.53,2.645544
1448,1722,823,0.43,2.645544
1463,1722,823,0.35,2.645544
1478,1722,823,0.35,2.645544
1311,1737,823,0.24,2.645544
1326,1737,823,0.32,2.645544
1341,1737,823,0.44,2.645544
1356,1737,823,0.55,2.645544
1372,1737,823,0.6,2.645544
1387,1737,823,0.61,2.645544
1402,1737,823,0.59,2.645544
1417,1737,823,0.51,2.645544
1433,1737,823,0.43,2.645544
1448,1737,823,0.36,2.645544
1463,1737,823,0.3,2.645544
1478,1737,823,0.3,2.645544
1311,1753,823,0.24,2.645544
1326,1753,823,0.32,2.645544
1341,1753,823,0.44,2.645544
1356,1753,823,0.55,2.645544
1372,1753,823,0.6,2.645544
1387,1753,823,0.61,2.645544
1402,1753,823,0.59,2.645544
1417,1753,823,0.51,2.645544
1433,1753,823,0.43,2.645544
1448,1753,823,0.36,2.645544
1463,1753,823,0.3,2.645544
1478,1753,823,0.3,2.645544
1311,1463,831,-2,2.645544
1326,1463,831,0.51,2.645544
1341,1463,831,0.61,2.645544
1356,1463,831,0.88,2.645544
1372,1463,831,1.11,2.645544
1387,1463,831,0.96,2.645544
1402,1463,831,0.8,2.645544
1417,1463,831,0.63,2.645544
1433,1463,831,0.5,2.645544
1448,1463,831,0.4,2.645544
1463,1463,831,0.32,2.645544
1478,1463,831,0.32,2.645544
1311,1478,831,0.5,2.645544
1326,1478,831,0.53,2.645544
1341,1478,831,0.62,2.645544
1356,1478,831,0.88,2.645544
1372,1478,831,1.2,2.645544
1387,1478,831,1.02,2.645544
1402,1478,831,0.87,2.645544
1417,1478,831,0.71,2.645544
1433,1478,831,0.56,2.645544
1448,1478,831,0.44,2.645544
1463,1478,831,0.36,2.645544
1478,1478,831,0.36,2.645544
1311,1494,831,0.51,2.645544
1326,1494,831,0.54,2.645544
1341,1494,831,0.63,2.645544
1356,1494,831,0.88,2.645544
1372,1494,831,1.24,2.645544
1387,1494,831,1.08,2.645544
1402,1494,831,0.93,2.645544
1417,1494,831,0.76,2.645544
1433,1494,831,0.62,2.645544
1448,1494,831,0.5,2.645544
1463,1494,831,0.4,2.645544
1478,1494,831,0.4,2.645544
1311,1509,831,0.52,2.645544
1326,1509,831,0.55,2.645544
1341,1509,831,0.65,2.645544
1356,1509,831,0.89,2.645544
1372,1509,831,1.24,2.645544
1387,1509,831,1.14,2.645544
1402,1509,831,0.98,2.645544
1417,1509,831,0.8,2.645544
1433,1509,831,0.66,2.645544
1448,1509,831,0.54,2.645544
1463,1509,831,0.44,2.645544
1478,1509,831,0.44,2.645544
1311,1524,831,0.55,2.645544
1326,1524,831,0.56,2.645544
1341,1524,831,0.65,2.645544
1356,1524,831,0.89,2.645544
1372,1524,831,1.23,2.645544
1387,1524,831,1.19,2.645544
1402,1524,831,1.03,2.645544
1417,1524,831,0.85,2.645544
1433,1524,831,0.7,2.645544
1448,1524,831,0.58,2.645544
1463,1524,831,0.47,2.645544
1478,1524,831,0.47,2.645544
1311,1539,831,0.58,2.645544
1326,1539,831,0.57,2.645544
1341,1539,831,0.65,2.645544
1356,1539,831,0.87,2.645544
1372,1539,831,1.21,2.645544
1387,1539,831,1.23,2.645544
1402,1539,831,1.08,2.645544
1417,1539,831,0.9,2.645544
1433,1539,831,0.75,2.645544
1448,1539,831,0.61,2.645544
1463,1539,831,0.52,2.645544
1478,1539,831,0.52,2.645544
1311,1554,831,0.61,2.645544
1326,1554,831,0.59,2.645544
1341,1554,831,0.65,2.645544
1356,1554,831,0.83,2.645544
1372,1554,831,1.16,2.645544
1387,1554,831,1.23,2.645544
1402,1554,831,1.13,2.645544
1417,1554,831,0.95,2.645544
1433,1554,831,0.77,2.645544
1448,1554,831,0.64,2.645544
1463,1554,831,0.63,2.645544
1478,1554,831,0.63,2.645544
1311,1570,831,0.63,2.645544
1326,1570,831,0.62,2.645544
1341,1570,831,0.65,2.645544
1356,1570,831,0.8,2.645544
