X,Y,Z,% Cu,,,,,,,,
4580,5463,2839.5,0.104360015,,,,,,,,
4551.95,4910.45,3160.98,-2.18036746,,,,,,,,
4551.95,4910.45,3160.98,-2.18036746,,,,,,,,
4551.95,4910.45,3160.98,-2.18036746,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4257.52,5101.01,2881.78,-1.790959789,,,,,,,,
4550.38,5282,2898.38,-0.53580161,,,,,,,,
4468.88,5523.23,3090.73,-0.590951668,,,,,,,,
4613.35,5523.81,3059.62,0.085627086,,,,,,,,
4523.34,4982.31,3116.7,-0.181282097,,,,,,,,
4622.21,5331.31,3005.19,0.824964605,,,,,,,,
4622.21,5331.31,3005.19,0.824964605,,,,,,,,
4622.21,5331.31,3005.19,0.824964605,,,,,,,,
4622.21,5331.31,3005.19,0.824964605,,,,,,,,
4622.21,5331.31,3005.19,0.824964605,,,,,,,,
4622.21,5331.31,3005.19,0.824964605,,,,,,,,
4622.21,5331.31,3005.19,0.824964605,,,,,,,,
4335,5336,2907.5,-1.7567785,,,,,,,,
4335,5336,2757.5,-0.41521246,,,,,,,,
4572,5323,2960.5,0.112614144,,,,,,,,
4492.13,5463,3016.37,-0.17578298,,,,,,,,
4675.7,5464,2972.56,0.123279016,,,,,,,,
4618.27,5754.15,2922.27,-1.287354413,,,,,,,,
4636.22,5584.12,3051.1,-2.012905018,,,,,,,,
4636.22,5584.12,3051.1,-2.012905018,,,,,,,,
4636.22,5584.12,3051.1,-2.012905018,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
4513.04,5583.4,3104.62,-3.844364357,,,,,,,,
