X,Y,Z,ANN
1325.88,1478.28,937.26,0.433618248
1341.12,1478.28,937.26,0.458660632
1356.36,1478.28,937.26,1.025628567
1371.6,1478.28,937.26,0.95446533
1386.84,1478.28,937.26,0.581375539
1402.08,1478.28,937.26,0.376310378
1417.32,1478.28,937.26,0.27257815
1432.56,1478.28,937.26,0.216408595
1447.8,1478.28,937.26,0.19327423
1325.88,1493.52,937.26,0.460271239
1341.12,1493.52,937.26,0.480039746
1356.36,1493.52,937.26,0.998229504
1371.6,1493.52,937.26,1.095076561
1386.84,1493.52,937.26,0.65490073
1402.08,1493.52,937.26,0.425480634
1417.32,1493.52,937.26,0.310915351
1432.56,1493.52,937.26,0.255253255
1447.8,1493.52,937.26,0.229280457
1463.04,1493.52,937.26,0.159274563
1325.88,1508.76,937.26,0.483102143
1341.12,1508.76,937.26,0.510746062
1356.36,1508.76,937.26,0.989423811
1371.6,1508.76,937.26,1.297191501
1386.84,1508.76,937.26,0.762948096
1402.08,1508.76,937.26,0.503552794
1417.32,1508.76,937.26,0.358190328
1432.56,1508.76,937.26,0.302662015
1447.8,1508.76,937.26,0.265123755
1463.04,1508.76,937.26,0.171821579
1325.88,1524,937.26,0.507976532
1341.12,1524,937.26,0.550228596
1356.36,1524,937.26,0.982868195
1371.6,1524,937.26,1.613282084
1386.84,1524,937.26,0.920901597
1402.08,1524,937.26,0.616295338
1417.32,1524,937.26,0.41479677
1432.56,1524,937.26,0.359523475
1447.8,1524,937.26,0.309489071
1463.04,1524,937.26,0.208467543
1325.88,1539.24,937.26,0.539867043
1341.12,1539.24,937.26,0.596589327
1356.36,1539.24,937.26,0.983065903
1371.6,1539.24,937.26,1.977617145
1386.84,1539.24,937.26,1.141845465
1402.08,1539.24,937.26,0.74454391
1417.32,1539.24,937.26,0.479313314
1432.56,1539.24,937.26,0.431242645
1447.8,1539.24,937.26,0.397425443
1463.04,1539.24,937.26,0.313655317
1325.88,1554.48,937.26,0.581611514
1341.12,1554.48,937.26,0.666690588
1356.36,1554.48,937.26,0.977213204
1371.6,1554.48,937.26,2.145832062
1386.84,1554.48,937.26,1.464287043
1402.08,1554.48,937.26,0.88997978
1417.32,1554.48,937.26,0.552964747
1432.56,1554.48,937.26,0.509914041
1447.8,1554.48,937.26,0.594938517
1463.04,1554.48,937.26,0.657768309
1325.88,1569.72,937.26,0.636553228
1341.12,1569.72,937.26,0.762562096
1356.36,1569.72,937.26,0.989827156
1371.6,1569.72,937.26,2.056173801
1386.84,1569.72,937.26,1.854935765
1402.08,1569.72,937.26,1.039925456
1417.32,1569.72,937.26,0.650356352
1432.56,1569.72,937.26,0.656930149
1447.8,1569.72,937.26,1.034894228
1463.04,1569.72,937.26,0.980225444
1325.88,1584.96,937.26,0.707368493
1341.12,1584.96,937.26,0.882524192
1356.36,1584.96,937.26,1.019801974
1371.6,1584.96,937.26,1.764777303
