X,Y,Z,IDS,KRIG,LOGKRIG,ANN
4450,5150,3125,0.21,0.29,0.22,0.21
4500,5150,3125,0.13,0.2,0.15,0.35
4550,5150,3125,0.36,0.35,0.21,0.45
4600,5150,3125,0.15,0.17,0.13,0.31
4650,5150,3125,0.04,0.05,0.04,0.21
4350,5200,3125,0.16,0.18,0.21,0.12
4400,5200,3125,0.14,0.12,0.16,0.15
4450,5200,3125,0.23,0.3,0.22,0.2
4500,5200,3125,0.21,0.24,0.18,0.38
4550,5200,3125,0.47,0.39,0.17,0.6
4600,5200,3125,0.2,0.21,0.1,0.4
4650,5200,3125,0.05,0.06,0.04,0.28
4350,5250,3125,0.12,0.12,0.15,0.11
4400,5250,3125,0.12,0.12,0.15,0.14
4450,5250,3125,0.22,0.26,0.2,0.18
4500,5250,3125,0.27,0.29,0.23,0.39
4550,5250,3125,0.24,0.29,0.2,0.77
4600,5250,3125,0.13,0.15,0.1,0.54
4650,5250,3125,0.06,0.06,0.05,0.36
4350,5300,3125,0.09,0.07,0.09,0.1
4400,5300,3125,0.07,0.06,0.07,0.13
4450,5300,3125,0.08,0.12,0.1,0.17
4500,5300,3125,0.12,0.12,0.09,0.36
4550,5300,3125,0.17,0.15,0.11,0.94
4600,5300,3125,0.17,0.16,0.13,0.72
4350,5350,3125,0.07,0.06,0.07,0.1
4400,5350,3125,0.05,0.06,0.06,0.12
4450,5350,3125,0.03,0.03,0.04,0.16
4500,5350,3125,0.07,0.12,0.07,0.32
4550,5350,3125,0.13,0.13,0.1,1.02
4600,5350,3125,0.15,0.14,0.13,0.86
4350,5400,3125,0.05,0.06,0.06,0.09
4400,5400,3125,0.03,0.05,0.05,0.11
4450,5400,3125,0.02,0.02,0.03,0.16
4500,5400,3125,0.03,0.04,0.03,0.29
4550,5400,3125,0.27,0.27,0.08,0.98
4600,5400,3125,0.22,0.19,0.15,1.06
4350,5450,3125,0.03,0.04,0.05,0.08
4400,5450,3125,0.02,0.03,0.03,0.1
4450,5450,3125,0.03,0.03,0.04,0.14
4500,5450,3125,0.02,0.02,0.03,0.25
4550,5450,3125,0.47,0.28,0.07,0.84
4350,5500,3125,0.03,0.03,0.04,0.07
4400,5500,3125,0.03,0.03,0.04,0.09
4450,5500,3125,0.04,0.04,0.04,0.12
4500,5500,3125,0.13,0.19,0.05,0.2
4550,5500,3125,0.23,0.06,0.06,0.63
4450,5550,3125,0.05,0.04,0.04,0.11
4500,5550,3125,0.1,0.24,0.05,0.17
4650,4850,3100,0.24,0.48,0.25,0.16
4700,4850,3100,0.14,0.35,0.18,0.11
4750,4850,3100,0.07,0.07,0.07,0.07
4400,4900,3100,0.46,0.52,0.66,0.41
4450,4900,3100,0.56,0.52,0.73,0.42
4500,4900,3100,0.65,0.58,0.78,0.56
4550,4900,3100,0.65,0.57,0.57,0.45
4600,4900,3100,0.45,0.49,0.37,0.29
4650,4900,3100,0.12,0.33,0.21,0.19
4700,4900,3100,0.09,0.29,0.17,0.12
4400,4950,3100,0.39,0.44,0.57,0.44
4450,4950,3100,0.56,0.53,0.72,0.46
4500,4950,3100,0.69,0.59,0.79,0.61
4550,4950,3100,0.63,0.55,0.64,0.53
4600,4950,3100,0.47,0.5,0.43,0.35
4650,4950,3100,0.22,0.38,0.26,0.22
4700,4950,3100,0.14,0.29,0.16,0.15
4400,5000,3100,0.37,0.41,0.53,0.47
4450,5000,3100,0.51,0.49,0.64,0.5
4500,5000,3100,0.72,0.63,0.78,0.66
4550,5000,3100,0.58,0.53,0.65,0.63
4600,5000,3100,0.5,0.5,0.5,0.42
4650,5000,3100,0.27,0.3,0.22,0.27
4700,5000,3100,0.21,0.3,0.17,0.18
4400,5050,3100,0.32,0.33,0.41,0.48
4450,5050,3100,0.45,0.45,0.61,0.53
4500,5050,3100,0.54,0.51,0.7,0.72
4550,5050,3100,0.48,0.53,0.71,0.75
4600,5050,3100,0.45,0.47,0.49,0.5
4650,5050,3100,0.29,0.34,0.29,0.33
4700,5050,3100,0.18,0.24,0.16,0.23
4400,5100,3100,0.33,0.34,0.46,0.48
4450,5100,3100,0.44,0.48,0.58,0.55
4500,5100,3100,0.63,0.63,0.75,0.78
4550,5100,3100,0.64,0.63,0.81,0.89
4600,5100,3100,0.54,0.49,0.58,0.61
4650,5100,3100,0.27,0.32,0.27,0.43
4700,5100,3100,0.1,0.14,0.11,0.31
4400,5150,3100,0.4,0.47,0.54,0.46
4450,5150,3100,0.46,0.5,0.59,0.55
4500,5150,3100,0.62,0.64,0.78,0.84
4550,5150,3100,0.9,0.82,1,1.08
4600,5150,3100,0.62,0.66,0.76,0.8
4650,5150,3100,0.31,0.27,0.26,0.57
4700,5150,3100,0.09,0.1,0.11,0.4
4750,5150,3100,0.08,0.09,0.09,0.32
4400,5200,3100,0.38,0.35,0.5,0.42
4450,5200,3100,0.58,0.74,0.79,0.52
4500,5200,3100,0.73,0.77,0.92,0.89
4550,5200,3100,0.95,0.92,1.17,1.43
4600,5200,3100,0.78,0.77,0.87,1.04
4650,5200,3100,0.21,0.23,0.24,0.75
4700,5200,3100,0.09,0.1,0.11,0.55
4750,5200,3100,0.08,0.09,0.1,0.46
4400,5250,3100,0.35,0.32,0.45,0.39
4450,5250,3100,0.83,0.92,1.03,0.48
4500,5250,3100,0.91,0.9,1.1,0.9
4550,5250,3100,1,0.99,1.3,1.88
4600,5250,3100,0.87,0.83,0.89,1.36
4650,5250,3100,0.11,0.12,0.14,0.97
4700,5250,3100,0.1,0.11,0.13,0.78
4400,5300,3100,0.26,0.3,0.3,0.37
4450,5300,3100,0.47,0.58,0.38,0.47
4500,5300,3100,0.93,0.89,0.6,0.86
4550,5300,3100,1.14,1.01,0.99,2.09
